time,	t_translated,	I_coil
0.33250, 	0.48250,    68.21800
0.33500, 	0.48500,    68.10450
0.33750, 	0.48750,    67.99140
0.34000, 	0.49000,    67.87850
0.34250, 	0.49250,    67.76600
0.34500, 	0.49500,    67.65370
0.34750, 	0.49750,    67.54180
0.35000, 	0.50000,    67.43010
0.35250, 	0.50250,    67.31870
0.35500, 	0.50500,    67.20760
0.35750, 	0.50750,    67.09680
0.36000, 	0.51000,    66.98630
0.36250, 	0.51250,    66.87610
0.36500, 	0.51500,    66.76620
0.36750, 	0.51750,    66.65650
0.37000, 	0.52000,    66.54720
0.37250, 	0.52250,    66.43810
0.37500, 	0.52500,    66.32930
0.37750, 	0.52750,    66.22080
0.38000, 	0.53000,    66.11250
0.38250, 	0.53250,    66.00460
0.38500, 	0.53500,    65.89690
0.38750, 	0.53750,    65.78940
0.39000, 	0.54000,    65.68230
0.39250, 	0.54250,    65.57540
0.39500, 	0.54500,    65.46880
0.39750, 	0.54750,    65.36250
0.40000, 	0.55000,    65.25640
0.40250, 	0.55250,    65.15060
0.40500, 	0.55500,    65.04510
0.40750, 	0.55750,    64.93980
0.41000, 	0.56000,    64.83490
0.41250, 	0.56250,    64.73010
0.41500, 	0.56500,    64.62560
0.41750, 	0.56750,    64.52140
0.42000, 	0.57000,    64.41750
0.42250, 	0.57250,    64.31380
0.42500, 	0.57500,    64.21040
0.42750, 	0.57750,    64.10720
0.43000, 	0.58000,    64.00420
0.43250, 	0.58250,    63.90160
0.43500, 	0.58500,    63.79920
0.43750, 	0.58750,    63.69700
0.44000, 	0.59000,    63.59510
0.44250, 	0.59250,    63.49340
0.44500, 	0.59500,    63.39200
0.44750, 	0.59750,    63.29080
0.45000, 	0.60000,    63.18990
0.45250, 	0.60250,    63.08920
0.45500, 	0.60500,    62.98880
0.45750, 	0.60750,    62.88860
0.46000, 	0.61000,    62.78870
0.46250, 	0.61250,    62.68900
0.46500, 	0.61500,    62.58950
0.46750, 	0.61750,    62.49030
0.47000, 	0.62000,    62.39130
0.47250, 	0.62250,    62.29260
0.47500, 	0.62500,    62.19410
0.47750, 	0.62750,    62.09580
0.48000, 	0.63000,    61.99780
0.48250, 	0.63250,    61.90000
0.48500, 	0.63500,    61.80240
0.48750, 	0.63750,    61.70510
0.49000, 	0.64000,    61.60800
0.49250, 	0.64250,    61.51110
0.49500, 	0.64500,    61.41450
0.49750, 	0.64750,    61.31810
0.50000, 	0.65000,    61.22190
0.50250, 	0.65250,    61.12600
0.50500, 	0.65500,    61.03030
0.50750, 	0.65750,    60.93490
0.51000, 	0.66000,    60.83970
0.51250, 	0.66250,    60.74480
0.51500, 	0.66500,    60.65010
0.51750, 	0.66750,    60.55570
0.52000, 	0.67000,    60.46150
0.52250, 	0.67250,    60.36750
0.52500, 	0.67500,    60.27380
0.52750, 	0.67750,    60.18040
0.53000, 	0.68000,    60.08720
0.53250, 	0.68250,    59.99430
0.53500, 	0.68500,    59.90160
0.53750, 	0.68750,    59.80920
0.54000, 	0.69000,    59.71710
0.54250, 	0.69250,    59.62520
0.54500, 	0.69500,    59.53360
0.54750, 	0.69750,    59.44220
0.55000, 	0.70000,    59.35110
0.55250, 	0.70250,    59.26030
0.55500, 	0.70500,    59.16980
0.55750, 	0.70750,    59.07950
0.56000, 	0.71000,    58.98940
0.56250, 	0.71250,    58.89970
0.56500, 	0.71500,    58.81020
0.56750, 	0.71750,    58.72100
0.57000, 	0.72000,    58.63210
0.57250, 	0.72250,    58.54340
0.57500, 	0.72500,    58.45500
0.57750, 	0.72750,    58.36690
0.58000, 	0.73000,    58.27900
0.58250, 	0.73250,    58.19140
0.58500, 	0.73500,    58.10410
0.58750, 	0.73750,    58.01710
0.59000, 	0.74000,    57.93040
0.59250, 	0.74250,    57.84390
0.59500, 	0.74500,    57.75770
0.59750, 	0.74750,    57.67180
0.60000, 	0.75000,    57.58610
0.60250, 	0.75250,    57.50080
0.60500, 	0.75500,    57.41570
0.60750, 	0.75750,    57.33090
0.61000, 	0.76000,    57.24630
0.61250, 	0.76250,    57.16210
0.61500, 	0.76500,    57.07810
0.61750, 	0.76750,    56.99440
0.62000, 	0.77000,    56.91100
0.62250, 	0.77250,    56.82790
0.62500, 	0.77500,    56.74500
0.62750, 	0.77750,    56.66240
0.63000, 	0.78000,    56.58010
0.63250, 	0.78250,    56.49810
0.63500, 	0.78500,    56.41640
0.63750, 	0.78750,    56.33490
0.64000, 	0.79000,    56.25370
0.64250, 	0.79250,    56.17280
0.64500, 	0.79500,    56.09220
0.64750, 	0.79750,    56.01180
0.65000, 	0.80000,    55.93170
0.65250, 	0.80250,    55.85190
0.65500, 	0.80500,    55.77240
0.65750, 	0.80750,    55.69320
0.66000, 	0.81000,    55.61420
0.66250, 	0.81250,    55.53550
0.66500, 	0.81500,    55.45710
0.66750, 	0.81750,    55.37900
0.67000, 	0.82000,    55.30110
0.67250, 	0.82250,    55.22350
0.67500, 	0.82500,    55.14620
0.67750, 	0.82750,    55.06920
0.68000, 	0.83000,    54.99240
0.68250, 	0.83250,    54.91590
0.68500, 	0.83500,    54.83970
0.68750, 	0.83750,    54.76370
0.69000, 	0.84000,    54.68810
0.69250, 	0.84250,    54.61270
0.69500, 	0.84500,    54.53750
0.69750, 	0.84750,    54.46270
0.70000, 	0.85000,    54.38810
0.70250, 	0.85250,    54.31370
0.70500, 	0.85500,    54.23970
0.70750, 	0.85750,    54.16590
0.71000, 	0.86000,    54.09230
0.71250, 	0.86250,    54.01910
0.71500, 	0.86500,    53.94610
0.71750, 	0.86750,    53.87330
0.72000, 	0.87000,    53.80080
0.72250, 	0.87250,    53.72860
0.72500, 	0.87500,    53.65660
0.72750, 	0.87750,    53.58490
0.73000, 	0.88000,    53.51350
0.73250, 	0.88250,    53.44230
0.73500, 	0.88500,    53.37140
0.73750, 	0.88750,    53.30070
0.74000, 	0.89000,    53.23020
0.74250, 	0.89250,    53.16000
0.74500, 	0.89500,    53.09010
0.74750, 	0.89750,    53.02040
0.75000, 	0.90000,    52.95100
0.75250, 	0.90250,    52.88180
0.75500, 	0.90500,    52.81280
0.75750, 	0.90750,    52.74410
0.76000, 	0.91000,    52.67570
0.76250, 	0.91250,    52.60750
0.76500, 	0.91500,    52.53950
0.76750, 	0.91750,    52.47170
0.77000, 	0.92000,    52.40420
0.77250, 	0.92250,    52.33700
0.77500, 	0.92500,    52.27000
0.77750, 	0.92750,    52.20320
0.78000, 	0.93000,    52.13660
0.78250, 	0.93250,    52.07030
0.78500, 	0.93500,    52.00420
0.78750, 	0.93750,    51.93840
0.79000, 	0.94000,    51.87270
0.79250, 	0.94250,    51.80730
0.79500, 	0.94500,    51.74220
0.79750, 	0.94750,    51.67720
0.80000, 	0.95000,    51.61250
0.80250, 	0.95250,    51.54800
0.80500, 	0.95500,    51.48370
0.80750, 	0.95750,    51.41970
0.81000, 	0.96000,    51.35590
0.81250, 	0.96250,    51.29230
0.81500, 	0.96500,    51.22890
0.81750, 	0.96750,    51.16570
0.82000, 	0.97000,    51.10280
0.82250, 	0.97250,    51.04010
0.82500, 	0.97500,    50.97760
0.82750, 	0.97750,    50.91530
0.83000, 	0.98000,    50.85320
0.83250, 	0.98250,    50.79130
0.83500, 	0.98500,    50.72970
0.83750, 	0.98750,    50.66820
0.84000, 	0.99000,    50.60700
0.84250, 	0.99250,    50.54590
0.84500, 	0.99500,    50.48510
0.84750, 	0.99750,    50.42450
0.85000, 	1.00000,    50.36410
0.85250, 	1.00250,    50.30390
0.85500, 	1.00500,    50.24390
0.85750, 	1.00750,    50.18410
0.86000, 	1.01000,    50.12450
0.86250, 	1.01250,    50.06510
0.86500, 	1.01500,    50.00590
0.86750, 	1.01750,    49.94690
0.87000, 	1.02000,    49.88810
0.87250, 	1.02250,    49.82950
0.87500, 	1.02500,    49.77110
0.87750, 	1.02750,    49.71290
0.88000, 	1.03000,    49.65490
0.88250, 	1.03250,    49.59710
0.88500, 	1.03500,    49.53950
0.88750, 	1.03750,    49.48200
0.89000, 	1.04000,    49.42480
0.89250, 	1.04250,    49.36770
0.89500, 	1.04500,    49.31090
0.89750, 	1.04750,    49.25420
0.90000, 	1.05000,    49.19770
0.90250, 	1.05250,    49.14140
0.90500, 	1.05500,    49.08530
0.90750, 	1.05750,    49.02940
0.91000, 	1.06000,    48.97360
0.91250, 	1.06250,    48.91800
0.91500, 	1.06500,    48.86260
0.91750, 	1.06750,    48.80740
0.92000, 	1.07000,    48.75240
0.92250, 	1.07250,    48.69760
0.92500, 	1.07500,    48.64290
0.92750, 	1.07750,    48.58840
0.93000, 	1.08000,    48.53400
0.93250, 	1.08250,    48.47990
0.93500, 	1.08500,    48.42590
0.93750, 	1.08750,    48.37200
0.94000, 	1.09000,    48.31840
0.94250, 	1.09250,    48.26490
0.94500, 	1.09500,    48.21150
0.94750, 	1.09750,    48.15840
0.95000, 	1.10000,    48.10540
0.95250, 	1.10250,    48.05250
0.95500, 	1.10500,    47.99980
0.95750, 	1.10750,    47.94730
0.96000, 	1.11000,    47.89490
0.96250, 	1.11250,    47.84270
0.96500, 	1.11500,    47.79060
0.96750, 	1.11750,    47.73870
0.97000, 	1.12000,    47.68690
0.97250, 	1.12250,    47.63530
0.97500, 	1.12500,    47.58380
0.97750, 	1.12750,    47.53250
0.98000, 	1.13000,    47.48130
0.98250, 	1.13250,    47.43020
0.98500, 	1.13500,    47.37930
0.98750, 	1.13750,    47.32860
0.99000, 	1.14000,    47.27800
0.99250, 	1.14250,    47.22750
0.99500, 	1.14500,    47.17720
0.99750, 	1.14750,    47.12700
1.00000, 	1.15000,    47.07690
1.00250, 	1.15250,    47.02700
1.00500, 	1.15500,    46.97720
1.00750, 	1.15750,    46.92760
1.01000, 	1.16000,    46.87810
1.01250, 	1.16250,    46.82870
1.01500, 	1.16500,    46.77940
1.01750, 	1.16750,    46.73030
1.02000, 	1.17000,    46.68130
1.02250, 	1.17250,    46.63250
1.02500, 	1.17500,    46.58370
1.02750, 	1.17750,    46.53510
1.03000, 	1.18000,    46.48660
1.03250, 	1.18250,    46.43830
1.03500, 	1.18500,    46.39000
1.03750, 	1.18750,    46.34190
1.04000, 	1.19000,    46.29390
1.04250, 	1.19250,    46.24610
1.04500, 	1.19500,    46.19830
1.04750, 	1.19750,    46.15070
1.05000, 	1.20000,    46.10320
1.05250, 	1.20250,    46.05580
1.05500, 	1.20500,    46.00850
1.05750, 	1.20750,    45.96140
1.06000, 	1.21000,    45.91430
1.06250, 	1.21250,    45.86740
1.06500, 	1.21500,    45.82060
1.06750, 	1.21750,    45.77390
1.07000, 	1.22000,    45.72730
1.07250, 	1.22250,    45.68080
1.07500, 	1.22500,    45.63440
1.07750, 	1.22750,    45.58820
1.08000, 	1.23000,    45.54210
1.08250, 	1.23250,    45.49600
1.08500, 	1.23500,    45.45010
1.08750, 	1.23750,    45.40430
1.09000, 	1.24000,    45.35860
1.09250, 	1.24250,    45.31300
1.09500, 	1.24500,    45.26750
1.09750, 	1.24750,    45.22210
1.10000, 	1.25000,    45.17680
1.10250, 	1.25250,    45.13160
1.10500, 	1.25500,    45.08650
1.10750, 	1.25750,    45.04150
1.11000, 	1.26000,    44.99670
1.11250, 	1.26250,    44.95190
1.11500, 	1.26500,    44.90720
1.11750, 	1.26750,    44.86260
1.12000, 	1.27000,    44.81810
1.12250, 	1.27250,    44.77380
1.12500, 	1.27500,    44.72950
1.12750, 	1.27750,    44.68530
1.13000, 	1.28000,    44.64120
1.13250, 	1.28250,    44.59720
1.13500, 	1.28500,    44.55330
1.13750, 	1.28750,    44.50950
1.14000, 	1.29000,    44.46580
1.14250, 	1.29250,    44.42220
1.14500, 	1.29500,    44.37870
1.14750, 	1.29750,    44.33520
1.15000, 	1.30000,    44.29190
1.15250, 	1.30250,    44.24870
1.15500, 	1.30500,    44.20550
1.15750, 	1.30750,    44.16250
1.16000, 	1.31000,    44.11950
1.16250, 	1.31250,    44.07660
1.16500, 	1.31500,    44.03380
1.16750, 	1.31750,    43.99110
1.17000, 	1.32000,    43.94850
1.17250, 	1.32250,    43.90600
1.17500, 	1.32500,    43.86350
1.17750, 	1.32750,    43.82120
1.18000, 	1.33000,    43.77890
1.18250, 	1.33250,    43.73670
1.18500, 	1.33500,    43.69460
1.18750, 	1.33750,    43.65260
1.19000, 	1.34000,    43.61070
1.19250, 	1.34250,    43.56880
1.19500, 	1.34500,    43.52710
1.19750, 	1.34750,    43.48540
1.20000, 	1.35000,    43.44380
1.20250, 	1.35250,    43.40230
1.20500, 	1.35500,    43.36080
1.20750, 	1.35750,    43.31950
1.21000, 	1.36000,    43.27820
1.21250, 	1.36250,    43.23700
1.21500, 	1.36500,    43.19590
1.21750, 	1.36750,    43.15490
1.22000, 	1.37000,    43.11390
1.22250, 	1.37250,    43.07300
1.22500, 	1.37500,    43.03220
1.22750, 	1.37750,    42.99150
1.23000, 	1.38000,    42.95090
1.23250, 	1.38250,    42.91030
1.23500, 	1.38500,    42.86980
1.23750, 	1.38750,    42.82940
1.24000, 	1.39000,    42.78910
1.24250, 	1.39250,    42.74880
1.24500, 	1.39500,    42.70860
1.24750, 	1.39750,    42.66850
1.25000, 	1.40000,    42.62850
1.25250, 	1.40250,    42.58850
1.25500, 	1.40500,    42.54860
1.25750, 	1.40750,    42.50880
1.26000, 	1.41000,    42.46900
1.26250, 	1.41250,    42.42930
1.26500, 	1.41500,    42.38970
1.26750, 	1.41750,    42.35020
1.27000, 	1.42000,    42.31070
1.27250, 	1.42250,    42.27130
1.27500, 	1.42500,    42.23200
1.27750, 	1.42750,    42.19280
1.28000, 	1.43000,    42.15360
1.28250, 	1.43250,    42.11450
1.28500, 	1.43500,    42.07540
1.28750, 	1.43750,    42.03640
1.29000, 	1.44000,    41.99750
1.29250, 	1.44250,    41.95870
1.29500, 	1.44500,    41.91990
1.29750, 	1.44750,    41.88120
1.30000, 	1.45000,    41.84260
1.30250, 	1.45250,    41.80400
1.30500, 	1.45500,    41.76550
1.30750, 	1.45750,    41.72710
1.31000, 	1.46000,    41.68870
1.31250, 	1.46250,    41.65040
1.31500, 	1.46500,    41.61210
1.31750, 	1.46750,    41.57390
1.32000, 	1.47000,    41.53580
1.32250, 	1.47250,    41.49780
1.32500, 	1.47500,    41.45980
1.32750, 	1.47750,    41.42180
1.33000, 	1.48000,    41.38400
1.33250, 	1.48250,    41.34620
1.33500, 	1.48500,    41.30840
1.33750, 	1.48750,    41.27080
1.34000, 	1.49000,    41.23310
1.34250, 	1.49250,    41.19560
1.34500, 	1.49500,    41.15810
1.34750, 	1.49750,    41.12070
1.35000, 	1.50000,    41.08330
1.35250, 	1.50250,    41.04600
1.35500, 	1.50500,    41.00870
1.35750, 	1.50750,    40.97150
1.36000, 	1.51000,    40.93440
1.36250, 	1.51250,    40.89730
1.36500, 	1.51500,    40.86030
1.36750, 	1.51750,    40.82340
1.37000, 	1.52000,    40.78650
1.37250, 	1.52250,    40.74960
1.37500, 	1.52500,    40.71290
1.37750, 	1.52750,    40.67610
1.38000, 	1.53000,    40.63950
1.38250, 	1.53250,    40.60290
1.38500, 	1.53500,    40.56630
1.38750, 	1.53750,    40.52980
1.39000, 	1.54000,    40.49340
1.39250, 	1.54250,    40.45700
1.39500, 	1.54500,    40.42070
1.39750, 	1.54750,    40.38440
1.40000, 	1.55000,    40.34820
1.40250, 	1.55250,    40.31200
1.40500, 	1.55500,    40.27590
1.40750, 	1.55750,    40.23990
1.41000, 	1.56000,    40.20390
1.41250, 	1.56250,    40.16790
1.41500, 	1.56500,    40.13200
1.41750, 	1.56750,    40.09620
1.42000, 	1.57000,    40.06040
1.42250, 	1.57250,    40.02470
1.42500, 	1.57500,    39.98900
1.42750, 	1.57750,    39.95340
1.43000, 	1.58000,    39.91780
1.43250, 	1.58250,    39.88230
1.43500, 	1.58500,    39.84680
1.43750, 	1.58750,    39.81140
1.44000, 	1.59000,    39.77600
1.44250, 	1.59250,    39.74070
1.44500, 	1.59500,    39.70550
1.44750, 	1.59750,    39.67030
1.45000, 	1.60000,    39.63510
1.45250, 	1.60250,    39.60000
1.45500, 	1.60500,    39.56490
1.45750, 	1.60750,    39.52990
1.46000, 	1.61000,    39.49500
1.46250, 	1.61250,    39.46010
1.46500, 	1.61500,    39.42520
1.46750, 	1.61750,    39.39040
1.47000, 	1.62000,    39.35560
1.47250, 	1.62250,    39.32090
1.47500, 	1.62500,    39.28630
1.47750, 	1.62750,    39.25170
1.48000, 	1.63000,    39.21710
1.48250, 	1.63250,    39.18260
1.48500, 	1.63500,    39.14810
1.48750, 	1.63750,    39.11370
1.49000, 	1.64000,    39.07940
1.49250, 	1.64250,    39.04500
1.49500, 	1.64500,    39.01080
1.49750, 	1.64750,    38.97650
1.50000, 	1.65000,    38.94240
1.50250, 	1.65250,    38.90830
1.50500, 	1.65500,    38.87420
1.50750, 	1.65750,    38.84010
1.51000, 	1.66000,    38.80620
1.51250, 	1.66250,    38.77220
1.51500, 	1.66500,    38.73830
1.51750, 	1.66750,    38.70450
1.52000, 	1.67000,    38.67070
1.52250, 	1.67250,    38.63700
1.52500, 	1.67500,    38.60330
1.52750, 	1.67750,    38.56960
1.53000, 	1.68000,    38.53600
1.53250, 	1.68250,    38.50240
1.53500, 	1.68500,    38.46890
1.53750, 	1.68750,    38.43550
1.54000, 	1.69000,    38.40200
1.54250, 	1.69250,    38.36860
1.54500, 	1.69500,    38.33530
1.54750, 	1.69750,    38.30200
1.55000, 	1.70000,    38.26880
1.55250, 	1.70250,    38.23560
1.55500, 	1.70500,    38.20240
1.55750, 	1.70750,    38.16930
1.56000, 	1.71000,    38.13630
1.56250, 	1.71250,    38.10320
1.56500, 	1.71500,    38.07030
1.56750, 	1.71750,    38.03730
1.57000, 	1.72000,    38.00450
1.57250, 	1.72250,    37.97160
1.57500, 	1.72500,    37.93880
1.57750, 	1.72750,    37.90610
1.58000, 	1.73000,    37.87340
1.58250, 	1.73250,    37.84070
1.58500, 	1.73500,    37.80810
1.58750, 	1.73750,    37.77550
1.59000, 	1.74000,    37.74300
1.59250, 	1.74250,    37.71050
1.59500, 	1.74500,    37.67800
1.59750, 	1.74750,    37.64560
1.60000, 	1.75000,    37.61320
1.60250, 	1.75250,    37.58090
1.60500, 	1.75500,    37.54860
1.60750, 	1.75750,    37.51640
1.61000, 	1.76000,    37.48420
1.61250, 	1.76250,    37.45200
1.61500, 	1.76500,    37.41990
1.61750, 	1.76750,    37.38790
1.62000, 	1.77000,    37.35580
1.62250, 	1.77250,    37.32380
1.62500, 	1.77500,    37.29190
1.62750, 	1.77750,    37.26000
1.63000, 	1.78000,    37.22810
1.63250, 	1.78250,    37.19630
1.63500, 	1.78500,    37.16450
1.63750, 	1.78750,    37.13280
1.64000, 	1.79000,    37.10110
1.64250, 	1.79250,    37.06940
1.64500, 	1.79500,    37.03780
1.64750, 	1.79750,    37.00630
1.65000, 	1.80000,    36.97470
1.65250, 	1.80250,    36.94320
1.65500, 	1.80500,    36.91180
1.65750, 	1.80750,    36.88040
1.66000, 	1.81000,    36.84900
1.66250, 	1.81250,    36.81760
1.66500, 	1.81500,    36.78640
1.66750, 	1.81750,    36.75510
1.67000, 	1.82000,    36.72390
1.67250, 	1.82250,    36.69270
1.67500, 	1.82500,    36.66160
1.67750, 	1.82750,    36.63050
1.68000, 	1.83000,    36.59940
1.68250, 	1.83250,    36.56840
1.68500, 	1.83500,    36.53740
1.68750, 	1.83750,    36.50650
1.69000, 	1.84000,    36.47560
1.69250, 	1.84250,    36.44470
1.69500, 	1.84500,    36.41390
1.69750, 	1.84750,    36.38310
1.70000, 	1.85000,    36.35230
1.70250, 	1.85250,    36.32160
1.70500, 	1.85500,    36.29090
1.70750, 	1.85750,    36.26030
1.71000, 	1.86000,    36.22970
1.71250, 	1.86250,    36.19920
1.71500, 	1.86500,    36.16860
1.71750, 	1.86750,    36.13810
1.72000, 	1.87000,    36.10770
1.72250, 	1.87250,    36.07730
1.72500, 	1.87500,    36.04690
1.72750, 	1.87750,    36.01660
1.73000, 	1.88000,    35.98630
1.73250, 	1.88250,    35.95600
1.73500, 	1.88500,    35.92580
1.73750, 	1.88750,    35.89560
1.74000, 	1.89000,    35.86550
1.74250, 	1.89250,    35.83540
1.74500, 	1.89500,    35.80530
1.74750, 	1.89750,    35.77520
1.75000, 	1.90000,    35.74520
1.75250, 	1.90250,    35.71530
1.75500, 	1.90500,    35.68530
1.75750, 	1.90750,    35.65540
1.76000, 	1.91000,    35.62560
1.76250, 	1.91250,    35.59580
1.76500, 	1.91500,    35.56600
1.76750, 	1.91750,    35.53620
1.77000, 	1.92000,    35.50650
1.77250, 	1.92250,    35.47680
1.77500, 	1.92500,    35.44720
1.77750, 	1.92750,    35.41760
1.78000, 	1.93000,    35.38800
1.78250, 	1.93250,    35.35850
1.78500, 	1.93500,    35.32900
1.78750, 	1.93750,    35.29950
1.79000, 	1.94000,    35.27010
1.79250, 	1.94250,    35.24070
1.79500, 	1.94500,    35.21130
1.79750, 	1.94750,    35.18200
1.80000, 	1.95000,    35.15270
1.80250, 	1.95250,    35.12350
1.80500, 	1.95500,    35.09430
1.80750, 	1.95750,    35.06510
1.81000, 	1.96000,    35.03590
1.81250, 	1.96250,    35.00680
1.81500, 	1.96500,    34.97770
1.81750, 	1.96750,    34.94870
1.82000, 	1.97000,    34.91970
1.82250, 	1.97250,    34.89070
1.82500, 	1.97500,    34.86180
1.82750, 	1.97750,    34.83280
1.83000, 	1.98000,    34.80400
1.83250, 	1.98250,    34.77510
1.83500, 	1.98500,    34.74630
1.83750, 	1.98750,    34.71760
1.84000, 	1.99000,    34.68880
1.84250, 	1.99250,    34.66010
1.84500, 	1.99500,    34.63140
1.84750, 	1.99750,    34.60280
1.85000, 	2.00000,    34.57420
1.85250, 	2.00250,    34.54560
1.85500, 	2.00500,    34.51710
1.85750, 	2.00750,    34.48860
1.86000, 	2.01000,    34.46010
1.86250, 	2.01250,    34.43170
1.86500, 	2.01500,    34.40330
1.86750, 	2.01750,    34.37490
1.87000, 	2.02000,    34.34660
1.87250, 	2.02250,    34.31820
1.87500, 	2.02500,    34.29000
1.87750, 	2.02750,    34.26170
1.88000, 	2.03000,    34.23350
1.88250, 	2.03250,    34.20540
1.88500, 	2.03500,    34.17720
1.88750, 	2.03750,    34.14910
1.89000, 	2.04000,    34.12100
1.89250, 	2.04250,    34.09300
1.89500, 	2.04500,    34.06500
1.89750, 	2.04750,    34.03700
1.90000, 	2.05000,    34.00900
1.90250, 	2.05250,    33.98110
1.90500, 	2.05500,    33.95320
1.90750, 	2.05750,    33.92540
1.91000, 	2.06000,    33.89760
1.91250, 	2.06250,    33.86980
1.91500, 	2.06500,    33.84200
1.91750, 	2.06750,    33.81430
1.92000, 	2.07000,    33.78660
1.92250, 	2.07250,    33.75890
1.92500, 	2.07500,    33.73130
1.92750, 	2.07750,    33.70370
1.93000, 	2.08000,    33.67610
1.93250, 	2.08250,    33.64860
1.93500, 	2.08500,    33.62110
1.93750, 	2.08750,    33.59360
1.94000, 	2.09000,    33.56620
